,well,log_phase_duration_hours,max_growth_rate,num_log_periods,column,row,sugar,ratio,YE
0,A2,0.5990892419444442,0.4069132378796221,1,2,A,High,0.25,False
1,B2,0.0,0.43667019819130387,0,2,B,High,0.25,False
2,C2,0.0,0.30010296539788867,0,2,C,High,0.25,False
3,D2,0.5990892419444442,0.37615280622708447,1,2,D,High,0.25,False
4,E2,0.8610234744444444,0.5315131253620894,1,2,E,High,0.25,True
5,F2,1.0163870755555555,0.6108847963105217,1,2,F,High,0.25,True
6,G2,0.6669961519444445,0.5118177962110502,1,2,G,High,0.25,True
7,H2,0.0,0.25327031803592753,0,2,H,High,0.25,False
8,A4,0.9489216233333333,0.4375088465767571,1,4,A,High,1.5,False
9,B4,0.7500490683333334,0.41867363375247474,1,4,B,High,1.5,False
10,D4,0.9162100477777777,0.48353324511020757,1,4,D,High,1.5,False
11,E4,1.7331678902777778,0.6160770442599279,1,4,E,High,1.5,True
12,F4,1.7331678902777778,0.5221358225900046,1,4,F,High,1.5,True
13,G4,1.6167976833333335,0.53514945155263,2,4,G,High,1.5,True
14,H4,0.0,0.2546248025126828,0,4,H,High,1.5,False
15,A10,0.0,0.33042565733442575,0,10,A,Low,1.5,False
16,B10,0.0,0.2904183152152926,0,10,B,Low,1.5,False
17,C10,0.0,0.2079456743926065,0,10,C,Low,1.5,False
18,D10,0.0,0.19936142532930068,0,10,D,Low,1.5,False
19,E10,0.0,0.9177698733101929,0,10,E,Low,1.5,True
20,F10,0.0,1.0072412466697742,0,10,F,Low,1.5,True
21,G10,0.0,0.7567716811505844,0,10,G,Low,1.5,True
22,H10,0.0,0.34903744905433154,0,10,H,Low,1.5,False
23,C12,0.0,0.028732744812788293,0,12,C,Low,9.0,False
24,D12,0.0,0.02325130490873643,0,12,D,Low,9.0,False
25,A12,0.0,0.04544693120805712,0,12,A,Low,9.0,False
26,B12,0.0,0.028318798898622807,0,12,B,Low,9.0,False
27,E12,0.0,0.024471946844560444,0,12,E,Low,9.0,True
28,F12,0.0,0.025977799307129682,0,12,F,Low,9.0,True
29,G12,0.0,0.04939954900892031,0,12,G,Low,9.0,True
30,H12,0.0,0.07029278029731023,0,12,H,Low,9.0,False
31,E11,0.0,0.03285457066972327,0,11,E,Low,4.0,True
32,G11,0.0,0.041217454892968436,0,11,G,Low,4.0,True
33,A11,0.0,0.02472819521414876,0,11,A,Low,4.0,False
34,B11,0.0,0.05203712234470273,0,11,B,Low,4.0,False
35,C11,0.0,0.035878335373037064,0,11,C,Low,4.0,False
36,F11,0.0,0.032828612257941585,0,11,F,Low,4.0,True
37,H11,0.0,0.06401354825862719,0,11,H,Low,4.0,False
38,D11,0.0,0.04518967792824233,0,11,D,Low,4.0,False
39,C9,0.0,0.0662695515803309,0,9,C,Low,0.6666666666666666,False
40,A9,0.0,-0.0030255731745638835,0,9,A,Low,0.6666666666666666,False
41,B9,0.0,0.043851856858638,0,9,B,Low,0.6666666666666666,False
42,D9,0.0,0.04718793914679806,0,9,D,Low,0.6666666666666666,False
43,E9,0.0,0.02832389959548455,0,9,E,Low,0.6666666666666666,True
44,F9,0.0,0.008331895183590692,0,9,F,Low,0.6666666666666666,True
45,G9,0.0,0.02624485142571231,0,9,G,Low,0.6666666666666666,True
46,H9,0.0,0.06478066573865665,0,9,H,Low,0.6666666666666666,False
47,C3,0.0,inf,0,3,C,High,0.6666666666666666,False
48,C8,0.0,0.0291722871981194,0,8,C,Low,0.25,False
49,C1,0.5990892419444442,0.39781421825833235,1,1,C,High,0.17647058823529413,False
50,C5,0.0,0.0008199032629880909,0,5,C,High,4.0,False
51,C6,0.0,0.056842987095199846,0,6,C,High,9.0,False
52,A1,0.5990892419444442,0.4271130649288264,1,1,A,High,0.17647058823529413,False
53,B1,0.5990892419444442,0.46498893945103364,1,1,B,High,0.17647058823529413,False
54,D1,0.0,0.3600917827237137,0,1,D,High,0.17647058823529413,False
55,E1,0.7833289033333333,0.47108461141134444,1,1,E,High,0.17647058823529413,True
56,F1,1.1327198269444443,1.0783492634431326,1,1,F,High,0.17647058823529413,True
57,G1,0.9005790183333333,0.7141994483873704,1,1,G,High,0.17647058823529413,True
58,H1,0.0,0.5789925434702246,0,1,H,High,0.17647058823529413,False
59,D8,0.0,0.011422009832982319,0,8,D,Low,0.25,False
60,F8,0.0,0.007053315717424119,0,8,F,Low,0.25,True
61,A8,0.0,-0.007529916096901732,0,8,A,Low,0.25,False
62,B8,0.0,-0.012498557490588202,0,8,B,Low,0.25,False
63,E8,0.0,0.009343982687319806,0,8,E,Low,0.25,True
64,G8,0.0,0.007396654637593413,0,8,G,Low,0.25,True
65,H8,0.0,0.05634478080448415,0,8,H,Low,0.25,False
66,E5,0.0,0.018969746188680112,0,5,E,High,4.0,True
67,F5,0.0,0.012860143188929696,0,5,F,High,4.0,True
68,G5,0.0,0.015188746205814266,0,5,G,High,4.0,True
69,A5,0.0,-0.003618761784636886,0,5,A,High,4.0,False
70,B5,0.0,-0.0016062877062845656,0,5,B,High,4.0,False
71,D5,0.0,-0.00010350276009834346,0,5,D,High,4.0,False
72,H5,0.0,0.06744718762491028,0,5,H,High,4.0,False
73,A7,0.0,0.405477464814093,0,7,A,Low,0.17647058823529413,False
74,B7,0.7500490683333334,0.4789561118271338,1,7,B,Low,0.17647058823529413,False
75,D7,0.0,0.38480731122806233,0,7,D,Low,0.17647058823529413,False
76,E7,0.0,0.5216018998833691,0,7,E,Low,0.17647058823529413,True
77,F7,0.7842462669444445,0.6908326546632533,1,7,F,Low,0.17647058823529413,True
78,G7,0.9000168686111112,0.5452569795078613,1,7,G,Low,0.17647058823529413,True
79,H7,0.0,0.4556336213266325,0,7,H,Low,0.17647058823529413,False
80,D6,0.0,0.05276631279314037,0,6,D,High,9.0,False
