timestamp,well,culture_id,cell_concentration_cells_per_ml,absorbance
2025-10-26T10:27:53.435117+00:00,C9,CLTR1YQQFAUA4QAQ3BY2JTCRZDJY4DI,298300000,0.2983000000
2025-10-26T10:48:53.292668+00:00,A9,CLTR17YOSAVBYUBWPI35GQTY72JUJHI,311700000,0.3117000000
2025-10-26T10:48:53.292668+00:00,B9,CLTR12JOSZRCSHYC6M6ECD3BNVJNYZ4,288600000,0.2886000000
2025-10-26T10:48:53.292668+00:00,C9,CLTR1YQQFAUA4QAQ3BY2JTCRZDJY4DI,296800000,0.2968000000
2025-10-26T10:48:53.292668+00:00,D9,CLTR1XLOFPNKZXNTTNKZID6IQVW62ZE,307500000,0.3075000000
2025-10-26T10:48:53.292668+00:00,E9,CLTR1NGEYNMAV42NBUIHUMLBBN4RZTI,553100000,0.5531000000
2025-10-26T10:48:53.292668+00:00,F9,CLTR1XT6IEQO7HZA6KFKHD3U2ZVOS5U,597000000,0.5970000000
2025-10-26T10:48:53.292668+00:00,G9,CLTR1Q4IPCSHQHQQOMURKSOO6JCZYMQ,526000000,0.5260000000
2025-10-26T10:48:53.292668+00:00,H9,CLTR1RKNNXVAGSUKNFFAHICN5SUFL4Q,450800000,0.4508000000
2025-10-26T11:04:54.797251+00:00,A9,CLTR17YOSAVBYUBWPI35GQTY72JUJHI,309000000,0.3090000000
2025-10-26T11:04:54.797251+00:00,B9,CLTR12JOSZRCSHYC6M6ECD3BNVJNYZ4,292000000,0.2920000000
2025-10-26T11:04:54.797251+00:00,C9,CLTR1YQQFAUA4QAQ3BY2JTCRZDJY4DI,302100000,0.3021000000
2025-10-26T11:04:54.797251+00:00,D9,CLTR1XLOFPNKZXNTTNKZID6IQVW62ZE,311400000,0.3114000000
2025-10-26T11:04:54.797251+00:00,E9,CLTR1NGEYNMAV42NBUIHUMLBBN4RZTI,557300000,0.5573000000
2025-10-26T11:04:54.797251+00:00,F9,CLTR1XT6IEQO7HZA6KFKHD3U2ZVOS5U,597900000,0.5979000000
2025-10-26T11:04:54.797251+00:00,G9,CLTR1Q4IPCSHQHQQOMURKSOO6JCZYMQ,529700000,0.5297000000
2025-10-26T11:04:54.797251+00:00,H9,CLTR1RKNNXVAGSUKNFFAHICN5SUFL4Q,453300000,0.4533000000
2025-10-26T11:17:53.915541+00:00,A9,CLTR17YOSAVBYUBWPI35GQTY72JUJHI,306300000,0.3063000000
2025-10-26T11:17:53.915541+00:00,B9,CLTR12JOSZRCSHYC6M6ECD3BNVJNYZ4,291300000,0.2913000000
2025-10-26T11:17:53.915541+00:00,C9,CLTR1YQQFAUA4QAQ3BY2JTCRZDJY4DI,301600000,0.3016000000
2025-10-26T11:17:53.915541+00:00,D9,CLTR1XLOFPNKZXNTTNKZID6IQVW62ZE,311200000,0.3112000000
2025-10-26T11:17:53.915541+00:00,E9,CLTR1NGEYNMAV42NBUIHUMLBBN4RZTI,558300000,0.5583000000
2025-10-26T11:17:53.915541+00:00,F9,CLTR1XT6IEQO7HZA6KFKHD3U2ZVOS5U,598800000,0.5988000000
2025-10-26T11:17:53.915541+00:00,G9,CLTR1Q4IPCSHQHQQOMURKSOO6JCZYMQ,530500000,0.5305000000
2025-10-26T11:17:53.915541+00:00,H9,CLTR1RKNNXVAGSUKNFFAHICN5SUFL4Q,459700000,0.4597000000
2025-10-26T11:30:51.092049+00:00,A9,CLTR17YOSAVBYUBWPI35GQTY72JUJHI,306100000,0.3061000000
2025-10-26T11:30:51.092049+00:00,B9,CLTR12JOSZRCSHYC6M6ECD3BNVJNYZ4,292200000,0.2922000000
2025-10-26T11:30:51.092049+00:00,C9,CLTR1YQQFAUA4QAQ3BY2JTCRZDJY4DI,301800000,0.3018000000
2025-10-26T11:30:51.092049+00:00,D9,CLTR1XLOFPNKZXNTTNKZID6IQVW62ZE,310600000,0.3106000000
2025-10-26T11:30:51.092049+00:00,E9,CLTR1NGEYNMAV42NBUIHUMLBBN4RZTI,559100000,0.5591000000
2025-10-26T11:30:51.092049+00:00,F9,CLTR1XT6IEQO7HZA6KFKHD3U2ZVOS5U,598900000,0.5989000000
2025-10-26T11:30:51.092049+00:00,G9,CLTR1Q4IPCSHQHQQOMURKSOO6JCZYMQ,529900000,0.5299000000
2025-10-26T11:30:51.092049+00:00,H9,CLTR1RKNNXVAGSUKNFFAHICN5SUFL4Q,463400000,0.4634000000
2025-10-26T15:51:47.937306+00:00,A9,CLTR17YOSAVBYUBWPI35GQTY72JUJHI,300600000,0.3006000000
2025-10-26T15:51:47.937306+00:00,B9,CLTR12JOSZRCSHYC6M6ECD3BNVJNYZ4,289700000,0.2897000000
2025-10-26T15:51:47.937306+00:00,C9,CLTR1YQQFAUA4QAQ3BY2JTCRZDJY4DI,297300000,0.2973000000
2025-10-26T15:51:47.937306+00:00,D9,CLTR1XLOFPNKZXNTTNKZID6IQVW62ZE,302200000,0.3022000000
2025-10-26T15:51:47.937306+00:00,E9,CLTR1NGEYNMAV42NBUIHUMLBBN4RZTI,589900000,0.5899000000
2025-10-26T15:51:47.937306+00:00,F9,CLTR1XT6IEQO7HZA6KFKHD3U2ZVOS5U,621000000,0.6210000000
2025-10-26T15:51:47.937306+00:00,G9,CLTR1Q4IPCSHQHQQOMURKSOO6JCZYMQ,575300000,0.5753000000
2025-10-26T15:51:47.937306+00:00,H9,CLTR1RKNNXVAGSUKNFFAHICN5SUFL4Q,598600000,0.5986000000

